RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	Family	Species	ReadsMapped	ReadsDeduped	Ancientness	ReadsDeam1Term	ReadsDeam3Term	Deam5_95CI	Deam3_95CI	Deam5Cond_95CI	Deam3Cond_95CI	MeanFragmentLength	MeanFragmentLength_Deam
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_acutorostrata	2	2	-	0	0	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_bonaerensis	2	2	-	0	0	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_borealis	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_brydei	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_edeni	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_musculus	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_omurai	2	2	-	0	0	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Balaenoptera_physalus	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Balaenopteridae	Megaptera_novaeangliae	1	1	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.0	N/A
simadna_1000.fq	4999210	4999210	2829734	 1.8	Bovidae	Addax_nasomaculatus	27835	3824	-	63	236	3.9 (2.6,5.7)	4.7 (3.3,6.5)	0.0 (0.0,28.5)	0.0 (0.0,52.2)	54.4	54.0
