RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	Family	Species	ReadsMapped	ReadsDeduped	Ancientness	ReadsDeam1Term	ReadsDeam3Term	Deam5_95CI	Deam3_95CI	Deam5Cond_95CI	Deam3Cond_95CI	MeanFragmentLength	MeanFragmentLength_Deam
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Addax_nasomaculatus	4909	2391	-	50	141	4.6 (2.9,6.9)	5.9 (3.9,8.4)	0.0 (0.0,52.2)	0.0 (0.0,52.2)	48.0	48.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Aepyceros_melampus	4988	2343	-	42	137	3.9 (2.3,6.1)	5.1 (3.3,7.5)	0.0 (0.0,52.2)	0.0 (0.0,60.2)	50.2	50.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Alcelaphus_buselaphus	5473	2559	-	43	151	3.9 (2.4,5.9)	4.1 (2.6,6.1)	25.0 (0.6,80.6)	100.0 (2.5,100.0)	48.6	48.6
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Ammotragus_lervia	4816	2268	-	48	136	3.6 (2.1,5.7)	6.0 (4.1,8.4)	0.0 (0.0,60.2)	0.0 (0.0,60.2)	48.3	49.0
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Antidorcas_marsupialis	3678	1839	-	28	91	2.9 (1.4,5.3)	4.9 (2.9,7.6)	0.0 (0.0,45.9)	0.0 (0.0,97.5)	47.8	49.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Antilope_cervicapra	4582	2199	-	40	107	4.5 (2.8,6.9)	4.4 (2.7,6.7)	0.0 (0.0,70.8)	0.0 (0.0,60.2)	49.0	48.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Arabitragus_jayakari	4863	2228	-	42	119	2.5 (1.2,4.4)	6.3 (4.3,8.9)	0.0 (0.0,52.2)	0.0 (0.0,70.8)	48.4	50.4
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Beatragus_hunteri	5036	2399	-	56	169	5.0 (3.2,7.3)	6.1 (4.2,8.6)	0.0 (0.0,41.0)	0.0 (0.0,52.2)	48.5	49.5
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bison_bison	56994	17830	-	333	963	3.4 (2.8,4.1)	6.1 (5.3,6.9)	0.0 (0.0,7.0)	0.0 (0.0,11.6)	60.1	58.0
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bison_bonasus	66233	19888	-	351	1037	3.7 (3.1,4.3)	5.3 (4.7,6.1)	3.3 (0.4,11.3)	5.7 (0.7,19.2)	60.8	58.1
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bison_priscus	57789	17945	-	330	975	3.4 (2.8,4.1)	6.0 (5.2,6.8)	2.0 (0.0,10.4)	3.8 (0.1,19.6)	60.1	57.9
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_gaurus	51128	16592	-	335	984	4.8 (4.1,5.6)	5.5 (4.7,6.3)	2.6 (0.1,13.5)	3.1 (0.1,16.2)	58.8	56.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_grunniens	53040	16984	-	312	926	3.8 (3.2,4.5)	5.8 (5.0,6.7)	6.8 (1.9,16.5)	11.4 (3.2,26.7)	59.3	58.3
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_indicus	105315	27510	-	198	582	1.6 (1.3,2.0)	2.0 (1.6,2.4)	0.0 (0.0,13.7)	0.0 (0.0,15.4)	65.4	65.3
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_javanicus	109673	28249	-	21	62	0.1 (0.1,0.3)	0.2 (0.1,0.4)	0.0 (0.0,84.2)	0.0 (0.0,70.8)	65.7	70.0
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_mutus	55444	17411	-	296	889	3.7 (3.1,4.4)	5.1 (4.4,5.9)	5.5 (1.1,15.1)	8.3 (1.8,22.5)	59.8	58.3
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_primigenius	109169	28176	-	67	183	0.5 (0.3,0.7)	0.7 (0.5,0.9)	0.0 (0.0,41.0)	0.0 (0.0,41.0)	65.7	66.1
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bos_taurus	109669	28249	-	24	79	0.2 (0.1,0.3)	0.3 (0.1,0.4)	0.0 (0.0,84.2)	0.0 (0.0,60.2)	65.7	69.0
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Boselaphus_tragocamelus	7341	3332	-	70	211	3.2 (1.9,4.9)	7.2 (5.4,9.3)	0.0 (0.0,28.5)	0.0 (0.0,60.2)	50.9	49.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bubalus_depressicornis	9501	4195	-	95	268	3.7 (2.5,5.2)	7.7 (5.9,9.7)	0.0 (0.0,23.2)	0.0 (0.0,70.8)	51.3	49.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Bubalus_kerabau	8876	3879	-	98	266	5.4 (4.0,7.2)	6.8 (5.1,8.7)	0.0 (0.0,28.5)	0.0 (0.0,41.0)	51.2	49.2
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Budorcas_taxicolor	4399	2121	-	37	119	3.2 (1.7,5.3)	5.4 (3.5,7.9)	0.0 (0.0,70.8)	0.0 (0.0,97.5)	48.1	48.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_aegagrus	5044	2397	-	29	102	1.3 (0.5,2.7)	4.4 (2.8,6.6)	0.0 (0.0,52.2)	0.0 (0.0,84.2)	49.0	50.6
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_caucasica	4549	2232	-	42	125	2.8 (1.4,4.8)	6.1 (4.2,8.6)	0.0 (0.0,45.9)	0.0 (0.0,52.2)	47.1	46.5
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_falconeri	4866	2307	-	32	111	2.8 (1.5,4.8)	3.8 (2.3,5.8)	0.0 (0.0,52.2)	0.0 (0.0,52.2)	48.5	48.4
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_hircus	4896	2364	-	34	115	1.9 (0.9,3.6)	5.0 (3.3,7.3)	0.0 (0.0,45.9)	0.0 (0.0,84.2)	48.1	51.8
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_ibex	4832	2305	-	31	112	1.3 (0.5,2.8)	5.4 (3.5,7.9)	0.0 (0.0,45.9)	N/A (N/A,N/A)	48.0	49.7
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_nubiana	5317	2433	-	34	113	1.6 (0.7,3.1)	5.0 (3.3,7.3)	0.0 (0.0,41.0)	0.0 (0.0,84.2)	48.2	51.6
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_pyrenaica	5546	2563	-	45	143	2.0 (0.9,3.6)	6.8 (4.8,9.3)	0.0 (0.0,28.5)	N/A (N/A,N/A)	48.7	48.8
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capra_sibirica	5925	2722	-	46	163	2.8 (1.5,4.5)	5.7 (3.9,8.0)	0.0 (0.0,84.2)	0.0 (0.0,45.9)	48.8	50.8
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capricornis_crispus	4579	2061	-	38	143	1.8 (0.8,3.6)	7.0 (4.8,9.9)	0.0 (0.0,36.9)	N/A (N/A,N/A)	48.9	51.2
simadna_100.fq	499924	499924	463144	 1.1	Bovidae	Capricornis_milneedwardsii	4213	1996	-	41	129	3.4 (1.8,5.7)	6.9 (4.6,9.8)	0.0 (0.0,41.0)	0.0 (0.0,97.5)	47.9	48.5
